"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
 Honduras ,3, , , , , 3 , ,0.3
 Monaco ,2, , , , , 2 , ,
 Nigeria ,2, , , ,1 , 1 , ,
 Aruba ,2, , , , , 2 , ,
 Burkina Faso ,2, , , , , 2 , ,0.1
 Cameroon ,2, , , , , 2 , ,0.1
 Ivory Coast ,2, , , , , 2 , ,0.1
 Curaçao ,2, , , , , 2 , ,
 DRC ,2, , , , , 2 , ,
 Ghana ,2, , , , , 2 , ,0.1
 Namibia ,2, , , , , 2 , ,0.8
 Saint Martin ,2, , , , , 2 , ,
 Seychelles ,2, , , , , 2 , ,
 Trinidad and Tobago ,2, , , , , 2 , ,1.4
 Venezuela ,2, , , , , 2 , ,0.1
 Guyana ,1, , 1 , , , 0 , ,
 Sudan ,1, , 1 , , , 0 , ,
 Andorra ,1, , , , , 1 , ,
 Jordan ,1, , , ,1 , 0 , ,0.1
 Nepal ,1, , , ,1 , 0 , ,
 Antigua and Barbuda ,1, , , , , 1 , ,
 Bhutan ,1, , , , , 1 , ,
 Cayman Islands ,1, , , , , 1 , ,
 Equatorial Guinea ,1, , , , , 1 , ,0.7
 Ethiopia ,1, , , , , 1 , ,
 Gabon ,1, , , , , 1 , ,0.4
 Gibraltar ,1, , , ,1 , 0 , ,
 Guatemala ,1, , , , , 1 , ,0.1
 Guinea ,1, , , , , 1 , ,0.1
 Vatican City ,1, , , , , 1 , ,
 Kenya ,1, , , , , 1 , ,
 Mauritania ,1, , , , , 1 , ,0.2
 Mayotte ,1, , , , , 1 , ,
 Mongolia ,1, , , , , 1 , ,0.3
 Rwanda ,1, , , , , 1 , ,0.1
 St. Barth ,1, , , , , 1 , ,
 Saint Lucia ,1, , , , , 1 , ,
 St. Vincent Grenadines ,1, , , , , 1 , ,
 Suriname ,1, , , , , 1 , ,
 Eswatini ,1, , , , , 1 , ,0.9
 Togo ,1, , , , , 1 , ,0.1
 U.S. Virgin Islands ,1, , , , , 1 , ,
Total:,"156,730",129,"5,839",16,"75,933","74,958","5,652",20.1
